id,bill_length_mm,bill_depth_mm
323,49.3,19.9
324,50.2,18.8
325,45.6,19.4
326,51.9,19.5
327,46.8,16.5
328,45.7,17
329,55.8,19.8
330,43.5,18.1
331,49.6,18.2
332,50.8,19
333,50.2,18.7
